# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.600000000000000000e+01,6.400000000000000133e-02,1.400000000000000000e+01,8.800000000000000044e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.780000000000000000e+02,7.119999999999999662e-01,1.550000000000000000e+02,8.699999999999999956e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.600000000000000000e+01,2.240000000000000047e-01,2.600000000000000000e+01,4.600000000000000200e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,2.948207171314741193e-01,6.900000000000000000e+01,9.300000000000000488e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01,1.155378486055776838e-01,2.400000000000000000e+01,8.299999999999999600e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.700000000000000000e+01,3.864541832669322607e-01,6.400000000000000000e+01,6.600000000000000311e-01
1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.100000000000000000e+01,2.031872509960159501e-01,2.000000000000000000e+01,3.900000000000000133e-01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,4.701195219123506241e-01,1.100000000000000000e+02,9.300000000000000488e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.300000000000000000e+01,1.314741035856573648e-01,1.400000000000000000e+01,4.199999999999999845e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+02,3.984063745019920111e-01,4.900000000000000000e+01,4.899999999999999911e-01
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+01,1.636363636363636354e-01,4.200000000000000000e+01,9.300000000000000488e-01
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,6.909090909090909172e-02,1.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,3.054545454545454786e-01,6.400000000000000000e+01,7.600000000000000089e-01
3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.270000000000000000e+02,4.618181818181817944e-01,5.900000000000000000e+01,4.600000000000000200e-01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.270000000000000000e+02,5.059760956175298752e-01,1.240000000000000000e+02,9.799999999999999822e-01
4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.593625498007968100e-02,2.000000000000000000e+00,5.000000000000000000e-01
4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+01,3.187250996015936200e-01,5.200000000000000000e+01,6.500000000000000222e-01
4.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+01,1.593625498007968100e-01,2.200000000000000000e+01,5.500000000000000444e-01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.210000000000000000e+02,4.782608695652174058e-01,1.100000000000000000e+02,9.100000000000000311e-01
5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.600000000000000000e+01,6.324110671936758465e-02,7.000000000000000000e+00,4.400000000000000022e-01
5.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,3.003952569169960340e-01,4.500000000000000000e+01,5.899999999999999689e-01
5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+01,1.581027667984189755e-01,2.500000000000000000e+01,6.300000000000000044e-01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,8.400000000000000522e-02,2.000000000000000000e+01,9.499999999999999556e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,1.400000000000000133e-01,3.300000000000000000e+01,9.399999999999999467e-01
6.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,4.640000000000000235e-01,9.100000000000000000e+01,7.800000000000000266e-01
6.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.800000000000000000e+01,3.119999999999999996e-01,3.900000000000000000e+01,5.000000000000000000e-01
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,2.031872509960159501e-01,4.800000000000000000e+01,9.399999999999999467e-01
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.510000000000000000e+02,6.015936254980079889e-01,9.500000000000000000e+01,6.300000000000000044e-01
