# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01,2.600000000000000089e-01,4.800000000000000000e+01,7.399999999999999911e-01
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e+02,5.000000000000000000e-01,1.160000000000000000e+02,9.300000000000000488e-01
0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,2.400000000000000000e+01,7.299999999999999822e-01
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,2.700000000000000000e+01,1.079999999999999988e-01,1.200000000000000000e+01,4.400000000000000022e-01
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,3.200000000000000000e+01,9.699999999999999734e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000056e-01,2.400000000000000000e+01,9.599999999999999645e-01
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.130000000000000000e+02,4.520000000000000129e-01,7.300000000000000000e+01,6.500000000000000222e-01
1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,7.900000000000000000e+01,3.160000000000000031e-01,3.300000000000000000e+01,4.199999999999999845e-01
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,7.199999999999999456e-02,1.500000000000000000e+01,8.299999999999999600e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+01,3.599999999999999867e-01,6.000000000000000000e+01,6.700000000000000400e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,1.839999999999999969e-01,3.600000000000000000e+01,7.800000000000000266e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,9.600000000000000000e+01,3.840000000000000080e-01,4.400000000000000000e+01,4.600000000000000200e-01
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,3.200000000000000067e-02,8.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,2.100000000000000000e+01,8.400000000000000522e-02,1.600000000000000000e+01,7.600000000000000089e-01
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,2.210000000000000000e+02,8.840000000000000080e-01,1.100000000000000000e+02,5.000000000000000000e-01
4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,6.800000000000000488e-02,7.000000000000000000e+00,4.099999999999999756e-01
4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01,1.479999999999999927e-01,1.900000000000000000e+01,5.100000000000000089e-01
4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+01,5.600000000000000117e-02,7.000000000000000000e+00,5.000000000000000000e-01
4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.820000000000000000e+02,7.279999999999999805e-01,9.700000000000000000e+01,5.300000000000000266e-01
5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,2.039999999999999869e-01,4.500000000000000000e+01,8.800000000000000044e-01
5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,9.100000000000000000e+01,3.639999999999999902e-01,7.200000000000000000e+01,7.900000000000000355e-01
5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,5.100000000000000000e+01,2.039999999999999869e-01,3.300000000000000000e+01,6.500000000000000222e-01
5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.700000000000000000e+01,2.280000000000000082e-01,3.100000000000000000e+01,5.400000000000000355e-01
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,4.159999999999999809e-01,8.700000000000000000e+01,8.399999999999999689e-01
6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,1.960000000000000075e-01,4.100000000000000000e+01,8.399999999999999689e-01
6.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000053e-01,5.000000000000000000e+01,7.800000000000000266e-01
6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,1.600000000000000000e+01,4.799999999999999822e-01
7.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,2.500000000000000000e+01,7.600000000000000089e-01
7.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.920000000000000000e+02,7.680000000000000160e-01,1.830000000000000000e+02,9.499999999999999556e-01
7.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.700000000000000000e+01,6.800000000000000488e-02,9.000000000000000000e+00,5.300000000000000266e-01
7.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,3.200000000000000067e-02,5.000000000000000000e+00,6.300000000000000044e-01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.680000000000000104e-01,3.700000000000000000e+01,8.800000000000000044e-01
8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.050000000000000000e+02,4.199999999999999845e-01,9.300000000000000000e+01,8.900000000000000133e-01
8.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.200000000000000000e+01,2.879999999999999782e-01,6.300000000000000000e+01,8.800000000000000044e-01
8.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.100000000000000000e+01,1.239999999999999991e-01,1.300000000000000000e+01,4.199999999999999845e-01
9.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,4.399999999999999745e-02,8.000000000000000000e+00,7.299999999999999822e-01
9.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,1.120000000000000023e-01,1.500000000000000000e+01,5.400000000000000355e-01
9.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,4.400000000000000000e+01,1.759999999999999898e-01,3.100000000000000000e+01,6.999999999999999556e-01
9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.670000000000000000e+02,6.680000000000000382e-01,8.800000000000000000e+01,5.300000000000000266e-01
1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01,9.600000000000000200e-02,2.100000000000000000e+01,8.800000000000000044e-01
1.000000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,8.500000000000000000e+01,3.400000000000000244e-01,7.500000000000000000e+01,8.800000000000000044e-01
1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,6.500000000000000000e+01,2.600000000000000089e-01,4.800000000000000000e+01,7.399999999999999911e-01
1.000000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,7.600000000000000000e+01,3.039999999999999925e-01,4.200000000000000000e+01,5.500000000000000444e-01
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,1.000000000000000000e+01,3.800000000000000044e-01
1.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.240000000000000000e+02,8.960000000000000187e-01,1.260000000000000000e+02,5.600000000000000533e-01
1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.060000000000000000e+02,4.239999999999999880e-01,9.600000000000000000e+01,9.100000000000000311e-01
1.200000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,4.400000000000000000e+01,1.759999999999999898e-01,2.200000000000000000e+01,5.000000000000000000e-01
1.200000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000222e-01,4.800000000000000000e+01,4.799999999999999822e-01
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000053e-01,4.000000000000000000e+01,6.300000000000000044e-01
