participant:assignmentId,condition,interested-Bear,complex-Bear,time-Bear,progress-Bear,rule-Bear,future-learn-0-Bear,future-learn-1-Bear,interested-Bunny,complex-Bunny,time-Bunny,progress-Bunny,rule-Bunny,future-learn-0-Bunny,future-learn-1-Bunny,interested-GreenMonster,complex-GreenMonster,time-GreenMonster,progress-GreenMonster,rule-GreenMonster,future-learn-0-GreenMonster,future-learn-1-GreenMonster,interested-Squid,complex-Squid,time-Squid,progress-Squid,rule-Squid,future-learn-0-Squid,future-learn-1-Squid,age,gender,race,ethnicity,thoughts,comments
A100Y89FZO4J0B:3FTOP5WARG367O4MAQ5FL69K51FJ0Y,0,3,3,3,6,10,6,2,8,7,8,9,8,8,3,2,1,1,1,10,3,1,4,9,4,4,2,6,6,27,female,white,nonhisp,studying learning abilities ,
A10BH9PYCYUKDJ:3YWRV122CTEX3TKJHTM8LNOD5E4U85,0,10,1,10,10,6,10,1,5,8,4,6,8,10,10,10,1,9,10,6,10,1,1,10,1,1,10,10,10,36,female,black,nonhisp,Trial and error,None
A10DEO061A6L3O:3YW4XOSQKR0FST0YI8DT6D15R8Y1US,0,5,1,7,10,10,2,1,5,9,4,3,3,8,8,5,7,6,5,5,7,7,4,7,1,1,5,7,10,41,male,white,nonhisp,People's learning preferences and style.,None
A11THU6UGG3THR:31QTRG6Q2USZQU35DBL8AUPGQCBPYE,1,10,10,10,1,5,9,10,3,2,1,10,10,5,2,7,5,7,10,10,10,3,3,1,1,10,10,4,2,38,female,white,nonhisp,How people learn rules.,
A11UQWFUDNIHIL:32ZKVD547G2W6X575LAHPGOE07SB30,0,7,8,6,7,5,8,6,3,10,2,1,2,8,3,7,6,7,7,6,8,6,9,1,10,1,10,4,1,41,female,white,nonhisp,to see how long we would spend trying to figure each one out.,
A12A5GVJX5RZC4:3Y4W8Q93L0Z9X35A3R7T314XUCXDV6,0,10,9,4,1,2,2,3,6,1,10,10,10,9,8,6,3,7,9,8,9,9,6,7,4,3,5,8,7,36,male,white,nonhisp,noticing patterns,
A12FCLCVIM2CL3:33JKGHPFYD9ZTS2EETK5CAXEHNKNME,0,5,8,8,7,3,10,3,10,4,4,9,10,6,1,1,10,7,1,1,10,1,9,1,1,10,10,1,1,32,male,white,nonhisp,not sure,
A140QSCUDO8CPW:3BDCF01OGY99Z9O7LJS1TDGWL3WYLD,1,10,10,10,8,1,10,5,2,1,1,10,10,1,1,10,10,8,2,1,7,5,2,1,1,10,10,1,1,40,male,white,NA,How we categorize things that can't be categorized. Just a guess.,Good luck on your study! Frustrating but still fun. 
A14ADQ7RUN6TDY:37W3JXSD67NPA306PXZ32OXCJ94YW8,1,8,9,8,6,4,9,4,10,9,4,1,2,9,2,8,10,6,3,7,9,5,4,3,9,10,10,6,10,68,male,white,nonhisp,I really don't know. ,Thanks!
A15JP0TGZKLNIZ:38YMOXR4MVENRJQ0JE4BJXDJKZC6WH,1,1,1,2,10,10,9,10,10,10,10,1,1,1,3,10,10,10,1,1,1,3,1,1,2,10,10,3,10,23,male,white,NA,"How we recognize preferences, and do we give up when we cant figure it out and refer to what we know.",fun
A16OH8XXYY0AAS:3PW9OPU9PRZ68HRWZO3N0U6D8HG12B,0,10,1,10,10,10,1,10,1,10,1,1,10,6,10,1,10,1,1,10,6,10,1,10,1,1,1,9,1,22,male,white,nonhisp,Monster food preferences.,
A16SJ5D3DKUEXJ:30LSNF239VAH8NNU7VOTSTNZPK92IO,0,7,10,9,5,6,10,10,10,1,7,10,10,10,1,9,8,9,9,10,10,8,7,10,9,5,3,10,9,36,female,asian,nonhisp,Pattern recognition?,"Fun HIT, cute monsters!  Thanks for the opportunity! "
A17AH7B74XRKX1:3A4TN5196LXUAA4CY6VE4UV61XDHCN,0,6,3,2,9,9,3,2,9,7,3,9,9,7,7,5,10,10,4,3,9,5,8,2,2,10,10,2,1,28,male,white,nonhisp,To see how we learn and make decisions?,:)
A17D65I948OQZM:3TVRFO09GLUKZ4YXGN6ZAZ9NJWELX4,1,8,6,8,8,9,4,10,9,2,6,10,10,4,1,5,10,10,2,2,9,8,5,8,9,7,3,9,3,39,male,white,nonhisp,This study seemed to be based on if people could recognize certain traits which correspond to a certain monster and their eating habits.,None that come to mind at this present moment.
A18ABCQ0UCECNP:3A7Y0R2P2P3E4EAXD2UMUKWVF7ZXJ4,1,4,5,6,6,5,7,7,1,1,10,10,10,10,4,2,1,6,9,10,10,5,10,8,4,2,5,9,7,31,male,white,nonhisp,i dont know,
A19P0GVTAIWID4:3TEM0PF1Q6CT424U0UJ4I8E70GN0D4,1,10,10,10,10,10,10,10,1,5,1,1,5,10,10,1,5,1,1,5,10,10,1,5,1,1,5,10,10,34,female,mult,nonhisp,memorie,thanks!
A19UBZFVUWL1ES:3LOZAJ85YESEYICP6HOUV3AEDWQ2XZ,0,2,7,2,2,2,9,8,7,2,10,10,10,9,1,2,9,3,2,3,9,8,2,9,3,2,3,9,8,48,male,white,nonhisp,i have no idea,
A1A8L6LU8E2YOA:3C6FJU71TR8CIZB1UXK2K0CFYUTYUB,1,10,8,9,7,7,8,10,2,1,3,10,10,8,1,10,10,8,1,1,8,6,4,1,3,10,10,8,1,27,male,white,hisp,Seeing how long we spend trying to discover patterns,
A1AO1LLP3INAZF:39RP059MEI8XSJDHB3FWLFXK0ZABMJ,1,7,10,7,5,7,10,4,10,1,7,10,10,6,1,10,4,9,10,10,10,1,3,10,4,3,2,10,6,30,female,white,hisp,I'm not really sure but it was fun!,"Thank you, this was fun"
A1B4KC5KP7FH1Z:3DZQRBDBSMUVNJM9G7WCF5YE4VT3S8,0,10,3,10,8,10,9,10,3,5,1,1,6,8,5,1,10,1,1,6,6,3,1,10,1,1,6,5,3,51,male,white,nonhisp,guessing the difference in individual prefernce,
A1B4WL7N3ACF2T:3K4J6M3CXF8SHZC3UMH5DZTHMURGAX,1,10,5,9,8,7,9,5,9,4,8,9,9,8,5,8,9,7,5,7,8,8,7,2,7,10,10,6,2,55,female,white,nonhisp,Learning rule-based results?,"Cute, fun, interesting HIT - thank you."
A1BF7DK6RJHQA1:34J10VATJGDY06PF96EUOBL25PAIQ3,1,4,10,1,2,1,8,10,5,9,1,1,1,7,10,10,5,5,10,10,9,1,10,4,10,10,10,10,1,52,female,white,nonhisp,Feeding Monsters ,
