participant:assignmentId,condition,state,trial,blockTrial,trialStartTime,monster,family,category,preferredFood,choice,correct,rt
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,1,1,2453,Bear_3_2,Bear,category2D,pancakes,pancakes,True,3865
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,2,2,7216,Bear_5_6,Bear,category2D,waffles,pancakes,False,4218
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,3,3,13975,Bear_3_6,Bear,category2D,waffles,waffles,True,3353
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,4,4,18139,Bear_2_3,Bear,category2D,pancakes,waffles,False,733
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,5,5,20161,Bear_5_1,Bear,category2D,waffles,pancakes,False,2563
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,6,6,24115,Bear_4_5,Bear,category2D,waffles,waffles,True,3497
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,7,7,28573,Bear_1_1,Bear,category2D,pancakes,pancakes,True,1784
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,8,8,31283,Bear_3_6,Bear,category2D,waffles,pancakes,False,2448
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,9,9,35281,Bear_2_6,Bear,category2D,waffles,waffles,True,1460
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,10,10,37886,Bear_4_2,Bear,category2D,pancakes,pancakes,True,1854
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,11,11,40531,Bear_3_4,Bear,category2D,pancakes,pancakes,True,2198
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,12,12,43562,Bear_1_6,Bear,category2D,waffles,waffles,True,2085
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,13,13,46875,Bear_1_1,Bear,category2D,pancakes,waffles,False,341
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,14,14,48869,Bear_1_2,Bear,category2D,pancakes,waffles,False,2527
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,15,15,52700,Bear_2_5,Bear,category2D,waffles,waffles,True,3042
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,16,16,57003,Bear_3_6,Bear,category2D,waffles,waffles,True,2001
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,17,17,59797,Bear_5_6,Bear,category2D,waffles,waffles,True,2338
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,18,18,62983,Bear_4_6,Bear,category2D,waffles,waffles,True,2473
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,19,19,66319,Bear_5_4,Bear,category2D,waffles,pancakes,False,3443
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,20,20,71128,Bear_1_4,Bear,category2D,pancakes,waffles,False,2764
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,21,21,76189,Bear_2_1,Bear,category2D,pancakes,pancakes,True,3121
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,22,22,80153,Bear_2_1,Bear,category2D,pancakes,pancakes,True,831
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,23,23,82127,Bear_4_2,Bear,category2D,pancakes,pancakes,True,933
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,24,24,83925,Bear_6_2,Bear,category2D,waffles,pancakes,False,1320
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,25,25,86747,Bear_5_6,Bear,category2D,waffles,waffles,True,2178
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,26,26,90380,Bear_3_4,Bear,category2D,pancakes,waffles,False,1443
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,27,27,93392,Bear_5_1,Bear,category2D,waffles,pancakes,False,2109
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,28,28,97015,Bear_6_4,Bear,category2D,waffles,waffles,True,1439
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,29,29,99877,Bear_1_3,Bear,category2D,pancakes,waffles,False,1935
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,30,30,103294,Bear_6_4,Bear,category2D,waffles,waffles,True,26139
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,31,31,130471,Bear_2_1,Bear,category2D,pancakes,pancakes,True,13113
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,32,32,144376,Bear_6_4,Bear,category2D,waffles,pancakes,False,4555
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,33,33,150279,Bear_5_5,Bear,category2D,waffles,waffles,True,1577
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,34,34,152650,Bear_4_2,Bear,category2D,pancakes,pancakes,True,2164
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,35,35,156086,Bear_1_4,Bear,category2D,pancakes,waffles,False,1513
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,36,1,167946,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,2838
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,37,2,171636,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,1040
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,38,3,173700,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1218
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,39,4,175724,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1781
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,40,5,179158,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1431
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,41,6,181717,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,725
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,42,7,183272,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,646
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,43,8,184929,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,572
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,44,9,186295,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,667
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,45,10,188040,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1598
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,46,11,190679,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1077
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,47,12,192665,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,680
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,48,13,194394,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,755
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,49,14,196015,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,803
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,50,15,197657,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,700
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,51,16,199146,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1251
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,52,17,201245,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,726
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,53,18,203622,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1276
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,54,19,205782,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1221
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,55,20,207879,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,739
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,56,21,209421,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,1130
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,57,22,211838,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1275
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,58,23,214212,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,931
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,59,24,216008,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,862
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,60,25,217670,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1091
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,61,26,219562,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1388
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,62,27,222511,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1020
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,63,28,224323,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,9902
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,64,29,235225,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1499
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,65,30,237723,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,915
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,66,31,239635,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,984
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,67,32,241767,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,948
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,68,33,244386,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,1514
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,69,34,247473,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1014
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,70,35,249337,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,778
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,71,36,250985,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,7821
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,72,37,259597,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,2426
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,73,38,262842,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1683
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,74,39,265316,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,943
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,75,40,268245,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,883
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,76,41,270102,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,941
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,77,42,272046,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,699
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,78,43,273568,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1595
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,79,44,277640,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,8561
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,80,45,288469,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,805
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,81,46,290251,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,830
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,82,47,291889,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1198
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,83,48,293947,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1176
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,84,49,295909,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1212
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,85,50,297927,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1359
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,86,51,300342,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,2316
