participant:assignmentId,condition,interested-Bear,complex-Bear,time-Bear,progress-Bear,rule-Bear,future-learn-0-Bear,future-learn-1-Bear,interested-Bunny,complex-Bunny,time-Bunny,progress-Bunny,rule-Bunny,future-learn-0-Bunny,future-learn-1-Bunny,interested-GreenMonster,complex-GreenMonster,time-GreenMonster,progress-GreenMonster,rule-GreenMonster,future-learn-0-GreenMonster,future-learn-1-GreenMonster,interested-Squid,complex-Squid,time-Squid,progress-Squid,rule-Squid,future-learn-0-Squid,future-learn-1-Squid,age,gender,race,ethnicity,thoughts,comments
A10249252O9I20MRSOBVF:3QFUFYSY9ZU71A0RA11WIB75T16F4P,1,9,10,8,3,5,6,8,8,4,7,10,10,9,3,8,9,7,8,7,6,8,7,3,9,10,10,4,3,53,female,white,nonhisp,Learning association with a stereotype,
A114BI2ZRYWKC0:3LYA37P8IR222VDEQR2G625GANLKBE,1,5,1,1,9,10,10,1,10,10,9,6,10,10,5,10,10,10,2,1,10,5,1,1,2,10,10,10,1,19,female,black,nonhisp,Learning patterns,
A115UFR6VA6OM1:3LUY3GC630FGBA74Q2V8XH5JM9E7PZ,0,7,7,7,7,6,7,8,8,9,9,4,4,9,8,8,7,8,10,10,7,4,9,3,5,9,9,9,3,61,female,white,nonhisp,not sure,
A11S8IAAVDXCUS:3HRMW88U175W8WA7DNI71Y119QDM0Y,1,7,4,4,8,7,8,3,4,2,1,10,10,3,1,5,2,2,10,9,3,1,10,10,10,3,3,10,5,27,female,white,nonhisp,I'm not sure,
A11W7R2O4RQSSS:34BBWHLWHBQ3K3L1LFD0G03OTN5WIT,0,9,1,8,8,8,1,7,4,2,5,9,10,1,2,9,5,8,6,7,1,7,8,9,6,4,2,1,9,24,female,white,nonhisp,not sure,enjoyed it!
A125FN8IYVB93O:34J10VATJGDY06PF96EUOBL25L2QIV,0,7,8,9,4,7,8,7,7,2,9,9,7,8,7,7,2,9,8,7,8,7,7,8,9,4,7,8,7,41,female,white,nonhisp,It was testing our memory.,None
A12DBV9FNAOFEM:3FQ5JJ512M34342BTH7PXX5ASFQNK4,1,6,10,9,2,2,10,10,10,2,3,10,10,10,1,3,8,8,7,9,10,1,4,5,6,7,10,10,1,32,male,white,nonhisp,I believe it was testing my memory. ,
A151HCDSHOD1IJ:3KXIR214I5VN0GOFM6MPYSDGJU142N,0,10,10,2,1,3,8,5,10,10,3,1,3,3,5,1,1,10,10,10,8,1,1,1,10,10,10,3,1,35,female,asian,nonhisp,Learning patterns,"So fun! Art is so cute. But, 300 trials is a bit too much."
A154B3Q5DTHN7:3R6P78PK7LQXWVBC0M8M84J9AENGTJ,1,9,4,8,8,9,8,9,9,7,7,7,8,7,9,9,4,8,8,9,7,9,9,10,4,5,3,3,7,69,male,white,NA,Judging differences,none
A15JXW50UYKBGP:3EO896NRAXA7NX1D8STP5HBP27UJTI,1,9,9,9,2,2,6,10,6,1,4,9,10,8,2,2,1,2,10,10,2,2,4,3,5,8,8,10,3,27,female,white,nonhisp,Patterns,
